tile,cpc
10,0.4557176459191785
101,0.5182153677235068
103,0.5411890726954698
104,0.510853213302665
107,0.54678722864324
110,0.0
111,0.0
113,0.5014302438074906
114,0.5278395441906243
117,0.5293574466742182
118,0.5146573651191492
119,0.4863199043231812
132,0.5283080836686261
135,0.5479660733989763
138,0.0
143,0.5521279933075395
146,0.4361952531969003
147,0.4927021350960026
148,0.47102230758582586
151,0.0
153,0.4869932036559644
156,0.5841865055601733
157,0.4208530804653498
158,0.4750525281002684
160,0.4706220259595452
161,0.5027064607377929
163,0.48619954287412037
164,0.4782280380768673
165,0.5299311129402969
166,0.5002932551319648
169,0.0
17,0.5952931288085732
173,0.49505774680807
174,0.0
177,0.5067311673870183
178,0.4839715607189748
18,0.47686832740213525
187,0.0
189,0.4852354349561053
190,0.6076509552140736
191,0.7633466969741334
192,0.4985704399373667
195,0.4362955989004911
196,0.5524287716020552
202,0.5147826086956522
206,0.0
207,0.4839749136901719
208,0.4375902638047521
209,0.5008604520117098
21,0.4443796739321081
210,0.5724852331132083
212,0.6244045910621456
213,0.5387434654652653
214,0.0
216,0.0
22,0.3270775625808081
221,0.5718150532820983
227,0.0
23,0.4825748164100211
230,0.0
235,0.5219607843137255
240,0.5491127702899253
241,0.5754793007414024
246,0.6404327909825211
248,0.5079889667807977
251,0.5609637011482982
253,0.7011014657862308
255,0.6217966750502123
256,0.5384507383677254
264,0.0
266,0.5149848981047973
267,0.5434329415921024
270,0.45726608873459995
271,0.5401968742505739
274,0.4420177812137611
275,0.0
277,0.4441365393360486
278,0.5550056189236733
284,0.5997782705099778
287,0.0
290,0.478471628172227
293,0.5123776188552497
295,0.5134597700487564
296,0.526127299365131
297,0.4095715080690039
30,0.4732424570432187
300,0.49920919001316083
301,0.6054498101197666
302,0.5169143037433398
303,0.54533769529632
306,0.5607661822985469
31,0.48295619514809185
311,0.5766738660907127
318,0.4902877550395437
319,0.4954011951317932
32,0.35090311156595
320,0.5219516560773112
321,0.4627954262330914
323,0.43462637656675385
325,0.48710201430665256
326,0.5671119592875318
328,0.6419739784389592
331,0.5482977038796516
333,0.723202170963365
342,0.2514675182532054
345,0.550607250537834
347,0.45239234465420275
348,0.4728092478806209
349,0.5486386466825062
352,0.49632794572830397
354,0.46485188429279506
355,0.3682594879077743
356,0.500637171428129
358,0.0
359,0.37988966900702104
360,0.5977055449330784
362,0.6890838206627681
364,0.0
365,0.45743580714668325
367,0.0
37,0.6548064925460089
371,0.19068516690311915
373,0.39983314105445794
377,0.4649577368093257
379,0.513303331643814
38,0.4692218350754936
383,0.41546998425853054
386,0.5496662921233811
388,0.6092158899799334
389,0.0
39,0.568283925230646
390,0.7498039215686274
396,0.0
399,0.3538114556569189
4,0.5088486486043873
40,0.4649875439498817
401,0.5159051282063505
402,0.5562542504932414
405,0.5387630322207445
408,0.5366941462292966
41,0.47075252693323133
411,0.4318614938763078
412,0.46928302908677655
414,0.532029986138043
417,0.6004092370651856
42,0.4833103319100492
422,0.4812989390825283
43,0.43686165116640174
437,0.4000603150350645
438,0.6755246491990563
439,0.46934865900383144
44,0.4272350958918624
440,0.0
444,0.0
445,0.5356063964614164
447,0.0
45,0.6014461931093151
450,0.4269102228541597
456,0.4140571656604132
463,0.4996323816712206
467,0.5989930836728363
47,0.5032297380407666
49,0.5385584275411247
5,0.5316885361464294
50,0.5408993883440487
54,0.5711966598289965
55,0.5018315018315018
56,0.0
57,0.5333691189937404
58,0.546580006190034
59,0.0
60,0.48559670781893005
70,0.5407438445033601
72,0.5320941419297598
73,0.46218050813478223
78,0.5682322226354598
80,0.6572119018555977
82,0.49566133972816706
84,0.39570453437557657
87,0.43107026386006525
88,0.5849915538873095
9,0.6880287054550962
91,0.4921421897712665
93,0.4846460309243969
94,0.4359897644725899
97,0.4695641997753314
98,0.5014292820812511
99,0.4848124905505675
